NR;Geschlecht;Alter;Nielsen;Bundesland;Arbeitsstatus;Kinder im Haushalt (<18);Haushaltsgröße;Haushaltsnettoeinkommen;Familienstand;Berufs- / Akademische Bildung;Schulbildung;Stadt;Urban (>100k Einw.);PLZ;Land;Platform;"1. <p>Was beschreibt deine aktuelle Wohnsituation am besten?&nbsp;</p>";"2. <p>Wie viele Kinder hast du?&nbsp;</p>";3. <p>Wie alt ist dein (ältestes) Kind?</p>;4. <p>Wie alt ist dein zweitältestes Kind?</p>;5. <p>Wie alt ist dein drittältestes Kind?</p>;6. <p>Wie alt ist dein viertältestes Kind?</p>;"7. <p>Wenn du spontan an eine Marke denkst, die für deine Familie/in deiner Familie gerade eine Rolle spielt. Welche ist es?&nbsp;</p><p><br></p>";8. <p>Auf welche Spielzeugmarke können deine Kinder gerade nicht verzichten? </p>;9. <p>Inwiefern stimmst du folgenden Aussagen zu: </p>:Alles in allem bin ich zufrieden mit meinem Familienleben;9. <p>Inwiefern stimmst du folgenden Aussagen zu: </p>:Ich fühle mich (im Familienalltag) extrem belastet;9. <p>Inwiefern stimmst du folgenden Aussagen zu: </p>:Die Klimakrise belastet mich und unser Familienleben;9. <p>Inwiefern stimmst du folgenden Aussagen zu: </p>:Die Inflation belastet mich und unser Familienleben;9. <p>Inwiefern stimmst du folgenden Aussagen zu: </p>:Ich fühle mich (im Familienalltag) häufig einsam;10. <p>Bitte gib an, inwiefern du dich um die folgenden Dinge sorgst/nicht sorgst: </p>:Beruf;10. <p>Bitte gib an, inwiefern du dich um die folgenden Dinge sorgst/nicht sorgst: </p>:Kind/er;10. <p>Bitte gib an, inwiefern du dich um die folgenden Dinge sorgst/nicht sorgst: </p>:Geld/Finanzen;10. <p>Bitte gib an, inwiefern du dich um die folgenden Dinge sorgst/nicht sorgst: </p>:(Schwieger)Eltern;10. <p>Bitte gib an, inwiefern du dich um die folgenden Dinge sorgst/nicht sorgst: </p>:Gesundheitliche Probleme;10. <p>Bitte gib an, inwiefern du dich um die folgenden Dinge sorgst/nicht sorgst: </p>:Vorsorge bzw. Rente;11. <p>In welchem Bereich fühlst du dich mit deiner Familie am meisten unter Druck gesetzt?</p>;12. <p>Wie viel Zeit kannst du dir im Alltag pro Tag für dich selbst (Me-Time) nehmen?</p>;13. <p>Wie verbringst du diese Zeit (Me-Time) überwiegend? </p>;14. <p>Wie kommen du und deine Familie derzeit mit eurem Haushaltsnettoeinkommen zurecht? </p>;15. <p>Hattest du/hatte deine Familie in den letzten zwei Monaten externe Unterstützung im Familienalltag (nicht von den direkten Familienmitgliedern aber z.B. von einem Babysitter)?</p>;16. <p>Du hast angegeben, dass deine Familie in den letzten zwei Monaten externe Unterstützung gehabt hat. Von wem?</p>:Nachbarn;16. <p>Du hast angegeben, dass deine Familie in den letzten zwei Monaten externe Unterstützung gehabt hat. Von wem?</p>:Freunde;16. <p>Du hast angegeben, dass deine Familie in den letzten zwei Monaten externe Unterstützung gehabt hat. Von wem?</p>:Kolleg:innen;16. <p>Du hast angegeben, dass deine Familie in den letzten zwei Monaten externe Unterstützung gehabt hat. Von wem?</p>:Offizielle Einrichtungen;16. <p>Du hast angegeben, dass deine Familie in den letzten zwei Monaten externe Unterstützung gehabt hat. Von wem?</p>:Babysitter;16. <p>Du hast angegeben, dass deine Familie in den letzten zwei Monaten externe Unterstützung gehabt hat. Von wem?</p>:Au-pair/Nanny;16. <p>Du hast angegeben, dass deine Familie in den letzten zwei Monaten externe Unterstützung gehabt hat. Von wem?</p>:freetext;17. <p>Wenn du für 2023 eine Familienurlaub/Reise planst, wohin soll es als nächstes gehen? </p>;18. <p>Du planst einen Familienurlaub - wie werdet ihr zum Zielort kommen?</p>:Mit dem Auto;18. <p>Du planst einen Familienurlaub - wie werdet ihr zum Zielort kommen?</p>:Mit einem Wohnmobil/wagen;18. <p>Du planst einen Familienurlaub - wie werdet ihr zum Zielort kommen?</p>:Mit dem Flugzeug;18. <p>Du planst einen Familienurlaub - wie werdet ihr zum Zielort kommen?</p>:Mit der Bahn;18. <p>Du planst einen Familienurlaub - wie werdet ihr zum Zielort kommen?</p>:Mit dem (Reise)Bus;18. <p>Du planst einen Familienurlaub - wie werdet ihr zum Zielort kommen?</p>:Mit einem Kreuzfahrtschiff;18. <p>Du planst einen Familienurlaub - wie werdet ihr zum Zielort kommen?</p>:Mit der Fähre;18. <p>Du planst einen Familienurlaub - wie werdet ihr zum Zielort kommen?</p>:freetext;19. <p>Haben „Verschwörungstheorien“ (z.B. die Erde wäre flach, Impfungen würden einhergehen mit der Einpflanzung von Chips zur Gedankenkontrolle o.ä.) Einfluss auf deine Familie?</p>;20. <p>Gibt es jemanden in deiner Familie oder familiären Umgebung, der dir Unbehagen oder Angst bereitet?</p>;21. <p>Benötigst du Hilfe?</p>;22. Du siehst nun ein paar Begriffe. Bitte wähle die korrekte Antwort. Welcher der folgenden Begriffe passt nicht zu den anderen? Achtung: Kontrollfrage!
11;f;52;1;Schleswig-Holstein;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;<1000€;Single / Ledig;Lehre / Ausbildung;Hauptschulabschluss;Kiel;1;24107;DEU;Android;Alleine wohnend;4;Über 18;Über 18;4 bis 6 Jahre;Unter 1 Jahr;penaten;tonie box;4;6;6;6;6;3;5;6;1;4;4;Erwartungen der eigenen Familie;Gar keine;-;Nicht gut;Nein;-;-;-;-;-;-;-;Wir planen keinen Urlaub;-;-;-;-;-;-;-;-;Haben einen starken Einfluss;Nein;-;Pudding
12;f;21;3b;Baden-Wuerttemberg;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;Single / Ledig;Lehre / Ausbildung;Realschulabschluss;Heilbronn;1;74076;DEU;iOS;Mit Partner*in;2;4 bis 6 Jahre;1 bis 3 Jahre;-;-;bebe,pempas,nivea;babybone;4;4;4;4;3;4;4;4;4;4;4;Anforderungen von Schule / Kita;30 bis 60 Minuten;Sport;Nicht gut;Nein;-;-;-;-;-;-;-;Asien;1;0;0;0;1;0;0;0;Haben eher einen Einfluss;Ja;-;Pudding
13;f;32;1;Niedersachsen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;1000€ bis 2000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Realschulabschluss;Loxstedt;0;27612;DEU;Android;Mit Partner*in & Kind(ern);2;7 bis 10 Jahre;7 bis 10 Jahre;-;-;lego;lego;4;4;4;4;4;4;4;4;3;4;4;Vereinbarkeit Familie & Beruf;5 bis 30 Minuten;Am Handy;Gut;Nein;-;-;-;-;-;-;-;Nordeuropa (Norwegen, Schweden, inkl. Großbritannien);0;1;0;0;0;0;0;0;Haben eher keinen Einfluss;Nein;-;Pudding
14;f;20;5;Berlin;Nicht erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;<1000€;In einer Beziehung;(Noch) kein Abschluss;Realschulabschluss;Berlin;1;10627;DEU;iOS;Mit Partner*in & Kind(ern);2;4 bis 6 Jahre;1 bis 3 Jahre;-;-;kaufland;pokemon;6;3;4;4;3;3;6;6;6;6;3;Ich weiß es nicht;1 bis 2 Stunden;Aufräumen;Nicht gut;Nein;-;-;-;-;-;-;-;Afrika;0;0;1;0;0;0;0;0;Haben überhaupt keinen Einfluss;Das möchte ich nicht beantworten;-;Pudding
15;f;37;2;Nordrhein-Westfalen;Nicht erwerbstätig;Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;4000€ bis 5000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Hauptschulabschluss;Koeln;1;51149;DEU;iOS;Mit Partner*in & Kind(ern);4;11 bis 18 Jahre;4 bis 6 Jahre;4 bis 6 Jahre;1 bis 3 Jahre;Vorwerk;playmobil;6;3;6;6;3;5;6;6;6;6;5;Politik, die Familien nicht genug berücksichtigt;5 bis 30 Minuten;Am Handy;Überhaupt nicht gut;Ja;0;0;0;0;0;0;Familie;Wir planen keinen Urlaub;-;-;-;-;-;-;-;-;Das möchte ich nicht beantworten;Nein;-;Pudding
16;m;61;6;Brandenburg;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;4000€ bis 5000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Realschulabschluss;Rangsdorf;0;15834;DEU;Android;Mit Partner*in & Kind(ern);3;Über 18;11 bis 18 Jahre;11 bis 18 Jahre;-;Nike,Adidas;playstation,Lego;6;2;3;6;2;6;6;6;5;5;3;Vereinbarkeit Familie & Beruf;30 bis 60 Minuten;Sport;Gut;Nein;-;-;-;-;-;-;-;Westeuropa (Belgien, Frankreich, Österreich etc.);1;0;0;0;0;0;0;0;Haben einen Einfluss;Nein;-;Pudding
17;m;38;1;Hamburg;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;>5000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Hamburg;1;20095;DEU;Android;Mit Partner*in & Kind(ern);2;7 bis 10 Jahre;4 bis 6 Jahre;-;-;Tonies;Tonies;6;2;4;2;2;2;2;2;2;2;2;Ich fühle mich nicht unter Druck gesetzt;1 bis 2 Stunden;Sport;Gut;Nein;-;-;-;-;-;-;-;Nordeuropa (Norwegen, Schweden, inkl. Großbritannien);1;0;0;0;0;0;0;0;Haben keinen Einfluss;Nein;-;Pudding
18;m;34;4;Bayern;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;3000€ bis 4000€;In einer Beziehung;Lehre / Ausbildung;Realschulabschluss;Ingolstadt;1;85051;DEU;Android;Mit Partner*in & Kind(ern);1;4 bis 6 Jahre;-;-;-;audi;lego;4;4;3;3;3;5;5;5;3;3;6;Anforderungen von Schule / Kita;1 bis 2 Stunden;Meditation;Sehr gut;Nein;-;-;-;-;-;-;-;Südeuropa (Italien, Portugal, Spanien etc.);1;0;1;0;0;0;0;0;Haben keinen Einfluss;Nein;-;Pudding
19;m;33;4;Bayern;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;3000€ bis 4000€;In einer Beziehung;Lehre / Ausbildung;Realschulabschluss;Ingolstadt;1;85057;DEU;Android;Mit Partner*in & Kind(ern);1;4 bis 6 Jahre;-;-;-;lego;lego;5;6;6;6;5;3;4;3;3;2;5;Vereinbarkeit Familie & Beruf;1 bis 2 Stunden;Am Handy;Sehr gut;Nein;-;-;-;-;-;-;-;Deutschland;0;0;1;0;0;0;0;0;Haben keinen Einfluss;Nein;-;Pudding
20;f;62;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;Single / Ledig;Lehre / Ausbildung;Realschulabschluss;Warburg;0;34414;DEU;Android;Mit Partner*in;2;Über 18;Über 18;-;-;Nike;Lego;5;2;6;4;1;4;4;4;3;5;5;Ich fühle mich nicht unter Druck gesetzt;1 bis 2 Stunden;Lesen;Gut;Ja;0;0;0;1;0;0;0;Deutschland;1;0;0;0;0;0;0;0;Haben überhaupt keinen Einfluss;Nein;-;Pudding
21;f;34;3a;Hessen;Nicht erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;1000€ bis 2000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Realschulabschluss;Wettenberg;0;35435;DEU;iOS;Mit Partner*in & Kind(ern);1;7 bis 10 Jahre;-;-;-;Adidas;Pokémon,Hotweels;2;2;3;6;4;5;6;6;4;5;6;Politik, die Familien nicht genug berücksichtigt;Ich weiß es nicht;Am Handy;Gut;Nein;-;-;-;-;-;-;-;Westeuropa (Belgien, Frankreich, Österreich etc.);1;0;0;0;0;0;0;0;Das möchte ich nicht beantworten;Nein;-;Pudding
22;m;57;7;Thueringen;Erwerbstätig;Keine Kinder (<18) im Haushalt;3 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Realschulabschluss;Dornheim;0;99310;DEU;Android;Mit Partner*in & Kind(ern);2;Über 18;Über 18;-;-;Milka;Keine;5;3;4;6;3;6;3;6;4;5;6;Politik, die Familien nicht genug berücksichtigt;30 bis 60 Minuten;Sport;Nicht gut;Nein;-;-;-;-;-;-;-;Deutschland;1;0;0;0;0;0;0;0;Haben eher keinen Einfluss;Nein;-;Pudding
23;f;61;5;Berlin;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;In einer Beziehung;Lehre / Ausbildung;Realschulabschluss;Berlin;1;13591;DEU;Android;Mit Partner*in;2;Über 18;Über 18;-;-;Otto;lego;6;3;4;6;4;4;6;6;2;6;6;Gesellschaft, die Familien nicht genug unterstützt;> 2 Stunden;Sport;Gut;Nein;-;-;-;-;-;-;-;Deutschland;1;0;0;0;0;0;0;0;Haben überhaupt keinen Einfluss;Nein;-;Pudding
24;f;59;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Abitur / Fachabitur;Duesseldorf;1;40470;DEU;iOS;Mit Partner*in;2;Über 18;Über 18;-;-;Audi;Lego;6;3;5;6;3;6;6;6;6;5;6;Ich fühle mich nicht unter Druck gesetzt;> 2 Stunden;Lesen;Gut;Nein;-;-;-;-;-;-;-;Südeuropa (Italien, Portugal, Spanien etc.);1;0;0;0;0;0;0;0;Haben überhaupt keinen Einfluss;Nein;-;Pudding
25;m;34;3b;Baden-Wuerttemberg;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;1000€ bis 2000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Hauptschulabschluss;Suessen;0;73079;DEU;Android;Mit Partner*in & Kind(ern);1;4 bis 6 Jahre;-;-;-;Weleda;playmobil;3;4;2;6;5;2;4;5;4;2;6;Politik, die Familien nicht genug berücksichtigt;Gar keine;-;Nicht gut;Nein;-;-;-;-;-;-;-;Wir planen keinen Urlaub;-;-;-;-;-;-;-;-;Haben einen Einfluss;Ja;-;Pudding
26;m;45;1;Schleswig-Holstein;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;3000€ bis 4000€;In einer Beziehung;Lehre / Ausbildung;Realschulabschluss;Dunsum;0;25938;DEU;Android;Mit Partner*in & Kind(ern);2;7 bis 10 Jahre;1 bis 3 Jahre;-;-;peppa wutz;xbox;4;2;3;4;3;4;5;4;1;4;5;Vereinbarkeit Familie & Beruf;1 bis 2 Stunden;gaming;Nicht gut;Nein;-;-;-;-;-;-;-;Deutschland;1;0;0;1;0;0;0;0;Haben keinen Einfluss;Nein;-;Pudding
27;f;22;6;Mecklenburg-Vorpommern;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;1000€ bis 2000€;In einer Beziehung;(Noch) kein Abschluss;Hauptschulabschluss;Zingst;0;18374;DEU;Android;Mit Partner*in & Kind(ern);1;Unter 1 Jahr;-;-;-;Amazon,ernstings Family;schleich,Ravensburger;4;4;2;5;2;4;5;5;2;5;3;Politik, die Familien nicht genug berücksichtigt;5 bis 30 Minuten;Am Handy;Gut;Nein;-;-;-;-;-;-;-;Wir planen keinen Urlaub;-;-;-;-;-;-;-;-;Haben überhaupt keinen Einfluss;Nein;-;Pudding
28;f;29;2;Nordrhein-Westfalen;Nicht erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;1000€ bis 2000€;Verheiratet / eingetragene Partnerschaft;(Noch) kein Abschluss;Hauptschulabschluss;Unna;0;59423;DEU;iOS;Mit Partner*in & Kind(ern);2;7 bis 10 Jahre;4 bis 6 Jahre;-;-;Vw;Barbie;1;6;6;6;6;6;6;6;1;4;5;Gesellschaft, die Familien nicht genug unterstützt;< 5 Minuten;Aufräumen;Überhaupt nicht gut;Ja;0;0;0;1;0;0;0;Wir planen keinen Urlaub;-;-;-;-;-;-;-;-;Haben überhaupt keinen Einfluss;Ja;-;Pudding
29;f;65;7;Sachsen;in Rente;Min. ein Kind (<18) im Haushalt;1 Person;1000€ bis 2000€;Single / Ledig;Lehre / Ausbildung;Realschulabschluss;Glashuette, Sachsen;0;1768;DEU;Android;Alleine wohnend;2;Über 18;Über 18;-;-;keine ahnung;keine ahnung;4;4;4;5;3;1;4;4;1;5;3;Ich weiß es nicht;> 2 Stunden;Aufräumen;Gut;Nein;-;-;-;-;-;-;-;Südeuropa (Italien, Portugal, Spanien etc.);0;0;1;0;0;0;0;0;Das möchte ich nicht beantworten;Nein;-;Pudding
